Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Purpose,Origination_Date,Credit_Score,Interest_Rate,Loan_Term_Months,Monthly_Installment,Number_of_Active_Loans,Total_Debt,Debt_to_Income,Loan_to_Income,Previous_Defaults,Days_Past_Due,Payment_History_Ratio,Credit_Utilization,Collateral_Type,Default_Flag,Loan_Status
LOAN_00015,CUST_04403,Auto,12441.76,Car Refinance,2023-03-08,599,7.21,48,299.15,1,26271.2,0.1746,0.605,0,4,1.0,0.5077,Used Vehicle,0,Grace Period
LOAN_00016,CUST_01378,Mortgage,110220.57,Second Home,2024-11-12,616,7.46,180,1019.25,5,181986.51,1.4569,2.6257,0,4,1.0,0.0466,Commercial Property,0,Grace Period
LOAN_00017,CUST_00873,Personal,7978.25,Medical Expenses,2025-02-09,591,8.93,36,253.45,2,11282.1,0.4608,0.6044,1,22,0.808,0.125,Savings Account,0,Late (16-30 days)
LOAN_00018,CUST_03538,Auto,101458.0,Car Repair,2024-05-28,644,6.33,24,4511.78,1,114793.01,0.7489,1.4035,0,0,1.0,0.3865,Used Vehicle,0,Fully Paid
LOAN_00019,CUST_04219,Auto,2267.68,Commercial Vehicle,2025-05-10,562,7.86,72,39.6,3,4890.16,0.8868,1.4107,0,2,0.9677,0.28,New Vehicle,0,Grace Period
LOAN_00020,CUST_00280,Personal,35907.47,Vacation,2022-02-02,604,8.69,48,888.28,2,54641.24,0.6523,1.0987,0,4,1.0,0.2783,Savings Account,0,Grace Period
LOAN_00021,CUST_07652,Personal,27410.31,Legal Fees,2025-04-04,660,6.51,12,2365.54,1,32262.07,0.6743,0.6511,0,1,1.0,0.0943,None,0,Grace Period
LOAN_00022,CUST_06677,Auto,896.65,Car Repair,2023-06-05,452,11.35,72,17.23,1,1080.78,0.2068,0.8966,2,94,0.5729,0.3565,New Vehicle,1,Default
LOAN_00023,CUST_02559,Personal,39084.15,Legal Fees,2024-10-08,636,6.96,60,773.18,1,76652.44,0.2186,0.9209,0,0,0.9714,0.3163,Jewelry,0,Current
LOAN_00024,CUST_06788,Mortgage,17958.61,Investment Property,2022-10-21,455,10.62,360,165.89,1,39147.4,0.6434,5.804,3,47,0.6023,0.6723,Commercial Property,0,Late (31-90 days)
LOAN_00025,CUST_04793,Personal,1537.62,Other Personal,2025-01-06,495,10.8,48,39.59,4,3077.31,0.3393,0.2745,1,27,0.7922,0.861,Fixed Deposit,0,Late (16-30 days)
LOAN_00026,CUST_02682,Mortgage,131481.04,Home Construction,2023-02-24,567,8.97,240,1180.43,1,308341.31,0.6731,6.2474,0,1,1.0,0.279,Land,1,Default
LOAN_00027,CUST_06972,Mortgage,3682.75,Primary Residence,2024-12-19,469,11.29,120,51.34,2,4442.11,0.8375,2.5033,0,21,0.937,0.5943,Land,0,Late (16-30 days)
LOAN_00028,CUST_03047,Personal,32123.38,Emergency Fund,2020-02-02,630,6.45,24,1430.25,2,68292.95,1.5,1.4169,0,2,0.9521,0.2553,None,0,Grace Period
LOAN_00029,CUST_01480,Consumer,500.0,Retail Financing,2025-05-31,473,11.41,12,44.29,1,815.56,0.5315,0.5,0,1,0.9532,0.471,None,1,Default
LOAN_00030,CUST_03222,Mortgage,24333.71,Refinance,2022-11-23,500,9.76,300,217.02,2,57717.2,0.4659,2.1767,2,73,0.5636,0.3935,Commercial Property,1,Late (31-90 days)
LOAN_00031,CUST_09964,Personal,7358.66,Other Personal,2022-12-27,629,7.48,12,638.35,2,8979.02,0.9054,0.4349,0,8,0.9903,0.2462,None,0,Grace Period
LOAN_00032,CUST_05338,Auto,26075.23,Motorcycle,2025-05-14,619,8.29,60,532.34,1,42171.71,0.3163,1.2911,0,4,0.9651,0.4621,New Vehicle,1,Default
LOAN_00033,CUST_05110,Personal,60424.48,Legal Fees,2013-10-04,633,7.22,12,5234.46,2,111184.23,1.5,1.0891,0,6,0.9788,0.2881,None,0,Grace Period
LOAN_00034,CUST_04568,Consumer,7720.0,Furniture,2025-03-08,533,8.6,12,673.69,1,18798.69,0.6663,0.6363,0,0,1.0,0.5353,Electronics,1,Default
LOAN_00035,CUST_09158,Consumer,3638.96,Furniture,2023-11-08,615,7.4,36,113.03,5,7772.37,0.2575,0.1382,0,6,0.9806,0.4284,Furniture,0,Grace Period
LOAN_00036,CUST_01783,Auto,4990.31,Motorcycle,2012-06-28,517,9.82,36,160.6,3,12208.97,1.5,1.6535,0,4,0.95,0.5808,New Vehicle,1,Default
LOAN_00037,CUST_00271,Mortgage,126875.93,Land Purchase,2024-02-11,583,7.92,300,972.53,3,264984.54,0.7116,2.5787,0,12,0.9983,0.0299,Residential Property,0,Grace Period
LOAN_00038,CUST_07855,Personal,6031.6,Legal Fees,2025-05-07,486,10.31,48,153.88,2,13875.95,0.8762,1.4309,1,32,0.8024,0.497,Savings Account,0,Late (31-90 days)
LOAN_00039,CUST_09758,Personal,4217.65,Other Personal,2025-05-09,459,10.51,48,108.01,1,7023.76,0.3348,1.0893,1,19,0.8711,0.9281,Savings Account,0,Late (16-30 days)
LOAN_00040,CUST_03594,Auto,61091.1,Car Refinance,2024-11-20,588,7.97,48,1490.55,2,90138.58,1.1139,1.9023,0,5,0.938,0.2769,Used Vehicle,0,Grace Period
LOAN_00041,CUST_00777,Auto,1415.37,Car Repair,2010-11-21,478,11.07,72,26.99,1,1415.93,0.3239,1.4154,2,36,0.6678,0.4715,Used Vehicle,1,Late (31-90 days)
LOAN_00042,CUST_00952,Mortgage,30183.91,Investment Property,2024-12-27,553,8.64,360,235.09,2,55286.05,0.5614,3.0036,1,26,0.8206,0.2823,Residential Property,0,Late (16-30 days)
LOAN_00043,CUST_08620,Personal,20132.97,Medical Expenses,2021-08-03,621,8.05,60,408.71,2,39054.1,0.1439,0.2954,0,0,0.9873,0.1329,None,0,Current
LOAN_00044,CUST_06324,Auto,7163.12,Motorcycle,2025-05-11,505,9.81,48,181.02,2,8474.07,0.477,0.7865,0,1,0.9716,0.3564,New Vehicle,0,Grace Period
LOAN_00045,CUST_02324,Consumer,2718.91,Furniture,2025-02-24,569,8.55,18,161.48,3,5028.36,1.1117,0.5199,0,5,0.9724,0.332,None,0,Grace Period
LOAN_00046,CUST_08238,Mortgage,327742.6,Home Construction,2023-07-14,594,7.88,120,3955.67,2,446915.9,1.3796,4.7626,1,21,0.8516,0.3527,Land,0,Late (16-30 days)
LOAN_00047,CUST_08922,Personal,15668.32,Legal Fees,2023-11-08,573,7.61,48,379.65,1,32332.64,0.3123,1.0739,0,3,1.0,0.0683,Jewelry,0,Grace Period
LOAN_00048,CUST_08232,Personal,9060.26,Debt Consolidation,2020-11-06,566,9.06,12,792.59,2,12892.48,1.5,1.0863,0,1,1.0,0.1807,Savings Account,1,Default
LOAN_00049,CUST_01900,Personal,16299.85,Home Improvement,2024-01-20,602,8.42,36,513.94,3,26741.32,0.731,0.644,0,1,1.0,0.7239,Jewelry,0,Grace Period
LOAN_00050,CUST_05398,Consumer,1821.86,Electronics Purchase,2023-08-24,554,9.68,24,83.8,1,3471.63,0.1242,0.225,0,22,0.9509,0.5859,Furniture,0,Late (16-30 days)
LOAN_00051,CUST_09938,Auto,40955.08,New Car Purchase,2025-03-15,562,8.48,48,1009.09,1,70874.48,0.3498,1.1829,0,0,0.9509,0.1314,New Vehicle,1,Default
LOAN_00052,CUST_01612,Personal,2195.46,Other Personal,2024-07-06,521,9.81,24,101.12,2,5081.29,1.5,1.4161,0,5,0.9895,0.689,Fixed Deposit,1,Default
LOAN_00053,CUST_01657,Personal,3397.14,Home Improvement,2025-02-17,544,8.29,48,83.4,2,6809.92,0.4448,0.7549,0,1,1.0,0.359,Savings Account,0,Grace Period
LOAN_00054,CUST_04675,Auto,14625.91,Commercial Vehicle,2021-11-14,499,10.08,72,271.55,4,27878.45,1.3687,1.5359,1,12,0.8584,0.5967,Used Vehicle,0,Grace Period
LOAN_00055,CUST_02555,Mortgage,156116.99,Second Home,2018-09-22,535,9.34,360,1294.53,1,244902.52,0.5388,5.4149,0,4,0.9795,0.3785,Commercial Property,0,Grace Period
LOAN_00056,CUST_05473,Personal,1523.15,Wedding,2025-05-13,530,10.0,12,133.91,1,3185.18,0.8141,0.7717,0,25,0.8974,0.4039,Fixed Deposit,1,Default
LOAN_00057,CUST_00397,Personal,17498.81,Vacation,2023-06-12,605,8.09,60,355.57,3,27477.9,1.0792,1.4753,1,22,0.8663,0.0476,None,0,Late (16-30 days)
LOAN_00058,CUST_03751,Mortgage,4354.98,Second Home,2025-05-31,493,10.6,180,48.41,3,5851.83,1.1791,2.9465,0,20,0.9374,0.4801,Residential Property,1,Default
LOAN_00059,CUST_08844,Mortgage,487240.02,Home Construction,2022-06-27,595,8.19,300,3822.13,2,796656.97,1.3008,6.9096,0,3,0.989,0.2355,Residential Property,1,Default
LOAN_00060,CUST_05261,Auto,19924.68,Car Refinance,2023-11-30,547,8.94,72,358.56,1,36349.27,0.2996,1.3873,2,67,0.6133,0.4188,Used Vehicle,1,Late (31-90 days)
LOAN_00061,CUST_04508,Personal,3582.94,Debt Consolidation,2024-09-29,511,9.36,60,75.0,3,6800.5,0.7045,0.9349,0,23,0.9178,0.4043,None,1,Default
LOAN_00062,CUST_07374,Personal,112350.87,Home Improvement,2024-02-02,642,6.34,24,4996.69,1,210797.47,0.7842,1.4694,0,3,1.0,0.2798,Jewelry,0,Grace Period
LOAN_00063,CUST_08127,Personal,22262.21,Vacation,2023-01-11,573,8.83,48,552.2,1,32344.07,0.4169,1.4005,0,6,0.9642,0.2655,Savings Account,0,Grace Period
LOAN_00064,CUST_02375,Auto,7641.63,Commercial Vehicle,2023-06-07,510,9.06,36,243.22,1,11591.19,0.2015,0.5276,0,1,0.9537,0.5764,Motorcycle,0,Grace Period
LOAN_00065,CUST_04377,Personal,8543.55,Vacation,2025-02-24,567,8.85,36,271.09,1,12165.42,0.1469,0.3857,1,19,0.8264,0.3801,Fixed Deposit,0,Late (16-30 days)
LOAN_00066,CUST_09990,Personal,14928.28,Debt Consolidation,2017-05-20,534,8.68,36,472.5,1,21396.52,0.1624,0.4276,0,1,0.9688,0.7913,Jewelry,0,Grace Period
LOAN_00067,CUST_05296,Personal,915.95,Wedding,2024-03-29,533,8.98,48,22.78,1,1361.64,0.2655,0.8897,1,24,0.8057,0.5333,Fixed Deposit,0,Late (16-30 days)
LOAN_00068,CUST_09588,Consumer,4338.28,Electronics Purchase,2025-02-11,547,9.82,12,381.04,1,8182.18,0.6723,0.6379,0,12,0.9582,0.7048,Furniture,0,Grace Period
LOAN_00069,CUST_05507,Consumer,833.9,Retail Financing,2025-01-20,516,9.1,36,26.56,1,1968.2,0.1536,0.4019,2,59,0.5996,0.7851,Electronics,1,Late (31-90 days)
LOAN_00070,CUST_05405,Mortgage,115864.39,Refinance,2025-02-15,655,6.36,180,1000.41,2,208865.64,1.3333,6.4342,0,0,0.9556,0.4131,Commercial Property,0,Current
LOAN_00071,CUST_06626,Personal,38243.59,Wedding,2024-09-26,626,7.08,12,3310.5,1,47220.48,0.7677,0.7391,0,3,0.9625,0.4059,Fixed Deposit,0,Grace Period
LOAN_00072,CUST_02128,Mortgage,76799.25,Land Purchase,2024-09-11,577,8.81,120,964.98,3,187985.93,1.5,7.7957,1,21,0.8254,0.2945,Land,1,Default
LOAN_00073,CUST_05644,Consumer,34959.56,Travel Package,2023-10-08,631,6.71,12,3020.27,1,44934.36,0.6022,0.5809,0,9,1.0,0.5576,Electronics,0,Grace Period
LOAN_00074,CUST_00155,Auto,27826.76,Commercial Vehicle,2024-12-29,605,7.67,60,559.84,3,40101.48,0.6379,0.8807,0,2,0.9891,0.1591,New Vehicle,0,Grace Period
LOAN_00075,CUST_02047,Consumer,21459.55,Travel Package,2020-12-04,548,8.12,18,1270.3,2,26269.97,1.0213,0.7188,2,40,0.7331,0.6672,Electronics,0,Late (31-90 days)
LOAN_00076,CUST_02681,Mortgage,33248.64,Land Purchase,2024-06-18,549,10.06,300,303.54,1,74032.96,0.6793,6.2005,0,2,0.9996,0.5157,Land,1,Default
LOAN_00077,CUST_07549,Personal,44136.3,Relocation,2022-08-03,636,7.29,12,3824.87,1,48963.94,1.022,0.9827,0,2,0.9993,0.4732,Jewelry,0,Grace Period
LOAN_00078,CUST_01276,Personal,500.0,Education Fees,2024-03-02,515,9.72,48,12.61,2,726.25,0.2941,0.486,0,12,0.9589,0.6346,Fixed Deposit,0,Grace Period
LOAN_00079,CUST_06955,Auto,690.32,Commercial Vehicle,2024-12-23,530,9.53,36,22.12,5,1098.18,1.3273,0.6903,0,5,0.9418,0.771,Used Vehicle,0,Grace Period
LOAN_00080,CUST_00338,Auto,13176.25,New Car Purchase,2022-09-04,584,8.13,24,596.71,1,32708.89,0.4027,0.7411,0,7,0.9399,0.0915,Used Vehicle,0,Grace Period
LOAN_00081,CUST_00632,Auto,17001.98,Car Refinance,2025-01-13,475,10.61,36,553.49,4,23530.2,1.5,1.8172,0,29,0.9312,0.4542,Motorcycle,0,Late (16-30 days)
LOAN_00082,CUST_01313,Auto,60918.29,Motorcycle,2025-05-03,601,8.23,72,1074.95,2,124753.21,0.6531,1.5421,0,0,0.9871,0.1202,New Vehicle,1,Default
LOAN_00083,CUST_05183,Personal,750.74,Vacation,2022-01-09,538,8.82,36,23.81,1,1844.22,0.1059,0.2783,0,12,0.9605,0.5241,Fixed Deposit,0,Grace Period
LOAN_00084,CUST_05553,Mortgage,70046.28,Refinance,2024-04-02,514,9.41,180,727.64,2,93560.45,1.5,7.3288,0,0,1.0,0.491,Commercial Property,0,Current
LOAN_00085,CUST_02203,Auto,33631.12,Car Repair,2019-09-24,659,5.56,36,1016.43,1,79875.48,0.5419,1.4942,0,0,1.0,0.5102,New Vehicle,0,Current
LOAN_00086,CUST_01103,Mortgage,117250.99,Investment Property,2024-09-11,621,7.47,180,1084.93,3,121638.23,1.5,6.38,0,0,0.9829,0.3351,Land,1,Default
LOAN_00087,CUST_04093,Mortgage,2921.43,Primary Residence,2024-02-08,497,9.67,300,25.87,1,6476.79,0.2449,2.3046,2,26,0.7707,0.5547,Residential Property,0,Late (16-30 days)
LOAN_00088,CUST_08830,Personal,52891.1,Vacation,2025-03-21,601,8.36,36,1666.21,2,90786.59,0.5747,0.7601,0,1,0.9989,0.2178,Savings Account,0,Grace Period
LOAN_00089,CUST_01689,Personal,23835.91,Emergency Fund,2023-10-06,530,8.79,48,590.78,2,36353.94,0.6587,1.1074,0,4,0.9726,0.5719,Jewelry,0,Grace Period
LOAN_00090,CUST_00286,Consumer,18161.4,Subscription,2023-08-12,574,7.72,12,1577.48,1,44939.11,0.5515,0.5291,1,40,0.7886,0.2643,Furniture,0,Late (31-90 days)
LOAN_00091,CUST_06688,Mortgage,56252.01,Refinance,2024-09-01,531,9.22,180,577.93,2,116022.96,1.449,5.8766,1,28,0.872,0.4856,Land,0,Late (16-30 days)
LOAN_00092,CUST_03560,Personal,10779.0,Emergency Fund,2020-09-14,556,8.58,36,340.67,1,19381.88,0.3811,1.0047,0,21,0.9641,0.0809,Jewelry,0,Late (16-30 days)
LOAN_00093,CUST_00633,Consumer,29445.54,Appliances,2024-04-09,553,8.41,18,1746.93,1,65309.66,0.5282,0.7419,1,22,0.8377,0.3673,None,0,Late (16-30 days)
LOAN_00094,CUST_04159,Mortgage,203876.53,Refinance,2025-03-14,537,9.6,300,1795.46,1,383225.78,0.7423,7.0241,1,23,0.8578,0.5434,Land,1,Default
LOAN_00095,CUST_00966,Personal,36868.03,Relocation,2025-01-29,592,8.19,36,1158.54,1,80363.48,0.5091,1.3501,0,7,1.0,0.1361,Fixed Deposit,0,Grace Period
LOAN_00096,CUST_04789,Auto,31965.77,Used Car Purchase,2022-02-24,588,7.75,24,1442.08,3,76661.2,1.5,1.6637,2,48,0.6799,0.7321,Motorcycle,0,Late (31-90 days)
LOAN_00097,CUST_07055,Mortgage,159772.29,Second Home,2023-06-01,582,9.16,300,1358.35,2,190690.61,1.1979,5.8711,0,1,1.0,0.402,Land,0,Grace Period
LOAN_00098,CUST_03085,Mortgage,119005.64,Investment Property,2020-08-10,583,8.02,360,874.88,1,251545.7,0.2824,3.2011,0,1,1.0,0.3682,Commercial Property,0,Grace Period
LOAN_00099,CUST_05078,Personal,42470.86,Medical Expenses,2022-04-16,608,8.48,24,1930.15,2,94306.69,1.077,0.9874,0,0,1.0,0.2672,Fixed Deposit,0,Fully Paid
LOAN_00100,CUST_05937,Consumer,720.45,Travel Package,2023-03-01,558,9.53,6,123.43,3,755.61,1.5,0.2711,1,15,0.8647,0.4909,None,0,Grace Period
LOAN_00101,CUST_04741,Mortgage,130450.54,Investment Property,2014-03-25,565,9.35,360,1082.65,1,184940.97,0.5454,5.476,1,23,0.8484,0.0334,Commercial Property,1,Default
LOAN_00102,CUST_01154,Personal,925.16,Emergency Fund,2025-05-31,557,8.87,48,22.97,1,2040.8,0.0975,0.3272,1,10,0.8322,0.2152,None,0,Grace Period
LOAN_00103,CUST_09075,Mortgage,7181.71,Primary Residence,2025-05-14,488,10.15,360,63.82,1,10305.02,0.2804,2.6296,1,28,0.8336,0.4946,Residential Property,0,Late (16-30 days)
LOAN_00104,CUST_03848,Auto,23359.69,Car Repair,2023-12-05,595,8.66,24,1063.54,2,35608.45,1.5,1.5109,1,15,0.8287,0.1088,New Vehicle,1,Default
LOAN_00105,CUST_06825,Personal,6654.26,Emergency Fund,2023-06-18,528,10.53,24,308.69,2,12394.31,0.9505,0.8538,0,10,0.9624,0.7621,Savings Account,0,Grace Period
LOAN_00106,CUST_04902,Personal,34261.04,Medical Expenses,2025-02-12,600,7.78,12,2976.83,2,44035.2,1.5,0.9334,1,5,0.8976,0.0886,Fixed Deposit,0,Grace Period
LOAN_00107,CUST_09573,Personal,23154.24,Relocation,2023-06-12,540,9.52,48,581.93,1,44924.91,0.2635,0.8738,0,0,1.0,0.5747,Savings Account,1,Default
LOAN_00108,CUST_05724,Personal,63937.89,Medical Expenses,2019-07-20,672,6.72,24,2854.56,2,98134.67,1.1184,1.0438,0,0,1.0,0.4323,Jewelry,0,Current
LOAN_00109,CUST_01305,Mortgage,105603.17,Home Construction,2024-11-13,634,7.57,120,1257.39,2,191147.6,1.5,6.7997,1,10,0.8326,0.0962,Residential Property,1,Default
LOAN_00110,CUST_06110,Personal,2124.51,Home Improvement,2024-12-28,478,11.18,60,46.38,5,3770.29,0.7647,0.5838,0,9,0.9486,0.3944,None,0,Grace Period
LOAN_00111,CUST_07871,Personal,7178.41,Home Improvement,2020-08-28,560,9.4,24,329.26,3,12764.8,0.4964,0.3006,1,13,0.8888,0.1985,None,0,Grace Period
LOAN_00112,CUST_00806,Auto,5834.38,Car Repair,2025-03-26,525,8.81,24,266.03,1,11937.79,0.4395,0.8033,0,37,0.8518,0.741,Used Vehicle,0,Late (31-90 days)
LOAN_00113,CUST_07771,Auto,43299.78,New Car Purchase,2023-09-14,623,7.99,60,877.76,4,90587.82,1.354,1.3915,0,1,1.0,0.0698,New Vehicle,0,Grace Period
LOAN_00114,CUST_08553,Consumer,3606.76,Furniture,2023-10-09,558,9.73,12,316.64,2,4472.96,0.7517,0.3568,0,1,0.9785,0.3186,Electronics,0,Grace Period
LOAN_00115,CUST_06406,Mortgage,29068.86,Investment Property,2024-12-03,544,9.05,180,295.7,1,46789.19,0.5929,4.8573,0,1,1.0,0.3629,Land,1,Default
LOAN_00116,CUST_01723,Personal,26672.03,Education Fees,2023-05-20,635,7.41,24,1199.14,4,51350.21,1.5,1.4749,0,1,1.0,0.5113,Jewelry,0,Grace Period
LOAN_00117,CUST_00965,Personal,2670.12,Emergency Fund,2025-01-04,546,8.78,60,55.14,1,5692.79,0.0723,0.2919,1,15,0.8221,0.6135,Jewelry,0,Grace Period
LOAN_00118,CUST_00090,Consumer,12059.39,Appliances,2024-12-14,603,8.65,12,1052.66,2,27932.1,1.4605,0.6972,0,1,1.0,0.182,Furniture,0,Grace Period
LOAN_00119,CUST_04831,Consumer,1968.96,Appliances,2025-01-11,493,10.15,6,337.94,1,3945.93,0.4238,0.2058,2,21,0.7417,0.6184,Furniture,1,Default
LOAN_00120,CUST_02278,Auto,26689.13,New Car Purchase,2019-01-20,606,8.67,72,476.73,3,36572.68,0.8263,1.285,0,5,1.0,0.153,Motorcycle,0,Grace Period
LOAN_00121,CUST_00945,Personal,45980.75,Wedding,2017-09-01,624,6.45,60,898.59,1,69353.74,0.3235,1.3794,0,2,1.0,0.0604,Savings Account,0,Grace Period
LOAN_00122,CUST_06077,Auto,22378.97,Used Car Purchase,2025-03-15,531,10.1,72,415.72,1,49451.06,0.4034,1.8095,2,52,0.6663,0.7949,Used Vehicle,1,Late (31-90 days)
LOAN_00123,CUST_04707,Consumer,2058.39,Travel Package,2024-05-20,562,8.02,6,351.13,2,4974.57,0.5497,0.1343,0,0,0.9852,0.5309,Furniture,1,Default
LOAN_00124,CUST_07299,Consumer,12725.43,Retail Financing,2019-09-03,594,8.89,12,1112.21,2,19286.76,1.5,0.7774,0,3,0.9931,0.0931,Electronics,0,Grace Period
LOAN_00125,CUST_02070,Auto,15728.02,Motorcycle,2017-03-27,510,10.41,24,728.75,2,16249.98,1.5,1.6224,1,31,0.7687,0.4566,Motorcycle,1,Late (31-90 days)
LOAN_00126,CUST_03809,Auto,60479.6,Used Car Purchase,2025-01-30,561,8.97,60,1254.58,2,91862.63,0.8259,1.6589,0,1,1.0,0.1508,Used Vehicle,0,Grace Period
LOAN_00127,CUST_02644,Auto,37485.45,Car Refinance,2020-03-21,611,8.12,36,1176.73,3,78353.01,1.1629,1.029,0,2,1.0,0.6342,New Vehicle,0,Grace Period
LOAN_00128,CUST_04641,Personal,15187.11,Home Improvement,2024-09-20,519,9.69,60,320.37,1,30581.12,0.2105,0.8314,0,35,0.9351,0.5664,None,0,Late (31-90 days)
LOAN_00129,CUST_05614,Auto,35755.22,Used Car Purchase,2025-05-05,545,8.18,60,728.07,2,52097.44,0.5147,1.0533,0,1,1.0,0.506,Used Vehicle,0,Grace Period
LOAN_00130,CUST_07195,Personal,11095.63,Other Personal,2022-12-30,586,7.82,12,964.27,1,25689.74,0.2796,0.2681,2,58,0.6171,0.6153,Fixed Deposit,1,Late (31-90 days)
LOAN_00131,CUST_05976,Personal,13320.27,Relocation,2022-04-05,628,7.28,24,598.08,1,13982.13,0.2351,0.4364,0,1,0.992,0.089,Jewelry,0,Grace Period
LOAN_00132,CUST_09705,Personal,24907.97,Home Improvement,2024-04-09,633,6.52,36,763.63,1,32857.48,0.3932,1.0687,0,5,0.9456,0.4446,Jewelry,0,Grace Period
LOAN_00133,CUST_00832,Mortgage,37645.97,Second Home,2024-12-25,586,8.54,300,304.15,1,44951.71,0.5271,5.4367,0,0,1.0,0.3898,Land,0,Fully Paid
LOAN_00134,CUST_06843,Auto,40992.91,Car Refinance,2024-07-14,593,7.14,60,814.42,2,50029.88,0.4293,0.9003,1,22,0.8013,0.0818,Motorcycle,0,Late (16-30 days)
LOAN_00135,CUST_07509,Personal,10265.98,Legal Fees,2023-04-15,614,7.82,24,463.46,4,11549.36,0.4462,0.2059,0,8,0.9986,0.2407,Fixed Deposit,1,Default
LOAN_00136,CUST_04075,Auto,15559.26,Car Refinance,2025-05-18,559,9.74,24,716.12,2,35670.73,1.5,1.9111,2,52,0.626,0.3455,New Vehicle,1,Late (31-90 days)
LOAN_00137,CUST_00486,Auto,7513.52,Used Car Purchase,2022-04-28,542,8.66,36,237.74,1,13683.43,0.249,0.6558,1,22,0.8861,0.726,Used Vehicle,0,Late (16-30 days)
LOAN_00138,CUST_09842,Personal,500.0,Other Personal,2025-05-31,527,9.94,12,43.94,3,839.08,1.4786,0.4674,0,4,0.9942,0.5112,Jewelry,0,Grace Period
LOAN_00139,CUST_05208,Auto,3766.78,Used Car Purchase,2016-09-13,576,8.9,60,78.01,2,5421.15,0.3332,0.6704,0,4,0.9596,0.3022,New Vehicle,0,Grace Period
LOAN_00140,CUST_08434,Auto,7353.33,Car Repair,2025-01-03,507,10.14,36,237.75,4,10213.92,1.3625,0.8779,0,1,0.9983,0.8745,New Vehicle,0,Grace Period
LOAN_00141,CUST_05906,Mortgage,17921.68,Primary Residence,2023-01-01,504,10.48,120,241.63,2,32095.47,1.047,3.2355,1,20,0.8008,0.476,Residential Property,0,Late (16-30 days)
LOAN_00142,CUST_01541,Auto,60911.56,Car Refinance,2023-07-06,683,6.16,24,2704.03,2,135177.11,1.3683,1.2843,0,0,1.0,0.0375,Used Vehicle,0,Current
LOAN_00143,CUST_04858,Personal,58837.73,Home Improvement,2023-10-13,667,6.24,48,1388.29,1,112771.28,0.3131,1.1059,0,1,1.0,0.3634,Savings Account,0,Grace Period
